station,place,name,category,area,highlight_ja,period_ja,note_ja,name_en,category_en,area_en,highlight_en,period_en,note_en
上野,上野の森さくらテラス,クリスマスイルミネーション,イルミネーション,台東区,"ピンクとゴールドを基調にしたイルミネーションで、
施設名でもある”さくら”をイメージした仕上がりに
なっている。","11月13日～12月25日
",,,,,,,
上野,浅草酉の寺 長國寺、鷲神社,浅草酉の市,季節のまつり,台東区,,11月1日、11月13日、11月25日,,,,,,,
上野,東京スカイツリータウン,東京スカイツリータウン（R）ドリームクリスマス2018,プロジェクションマッピング,墨田区,,2018年10月16日～2019年1月20日,,,,,,,
上野,国立西洋美術館,ルーベンス展－バロックの誕生,アート,台東区,,,,,,,,,
上野,東京都美術館,ムンク展－共鳴する魂の叫び,アート,台東区,,2018年10月27日～2019年1月20日,,,,,,,
上野,上野の森美術館,フェルメール展,アート,台東区,"現存する作品数がわずか35点とも言われる中、
東京展は9点の作品を展示する貴重な展覧会と
なっている。","2018年10月5日(金)～2019年2月3日(日)
※12月13日(木)休み",,,,,,,
上野,浅草寺本堂,"
浅草歳の市　羽子板市",祭事,台東区,"江戸時代、毎年12月17、18日に正月用品や
縁起物を売る店が境内に集まり「歳の市」
と呼ばれ、江戸随一の市として賑わった。",2018年12月17日(月)～19日(水),,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
上野,,,,,,,,,,,,,
