id,name_ja,name_en,type,inside,ingate,points
,"1,2番ホーム階段",,階段,内,内,"3,41,37
2,40,37"
,"3,4番ホーム階段",,階段,内,内,"3,41,41
2,40,41"
,"5,6番ホーム階段",,階段,内,内,"3,41,46
2,40,47"
,"7,8番ホーム階段",,階段,内,内,"3,41,51
2,40,51"
,"9,10番ホーム階段",,階段,内,内,"3,41,56
2,40,56"
,"11,12番ホーム階段",,階段,内,内,"3,40,61
2,40,61"
,13番ホーム階段,,階段,内,内,"3,61,56
1,63,56"
,"14,15番ホーム",,階段,内,内,"3,61,61
1,63,61"
,"16,17番ホーム",,階段,内,内,"3,61,66
1,62,66"
,1F大階段,,階段,内,内,"3,49,73
1,46,73"
,"1,2番ホームM2階段",,階段,内,内,"2,32,37
M2,32,36"
,"3,4番ホームM2階段",,階段,内,内,"2,35,42
M2,35,46"
,"5,6番ホームM2階段",,階段,内,内,"2,35,45
M2,35,51"
,"7,8番ホームM2階段",,階段,内,内,"2,35,51
M2,35,48"
,"9,10番ホームM2階段",,階段,内,内,"2,35,56
M2,35,56"
,"11,12番ホームM2階段",,階段,内,内,"2,35,61
M2,35,61"
,中央改札内階段,,階段,内,内,"M2,31,54
1,31,54"
,東上野口3F-2F階段,,階段,内,内,"3,34,73
2,33,74"
,東上野口2F-1F階段,,階段,内,内,"2,64,75
1,28,74"
,入谷口3F-2F階段,,階段,内,内,"3,45,73
2,46,73"
,入谷口2F-1F階段,,階段,内,内,"2,30,74
1,66,75"
,不忍口M2-1F階段,,階段,内,内,"M2,16,41
1,15,41"
,不忍口アトレM2F-1F階段,,階段,内,内,"M2,20,45
1,20,48"
,新幹線ホーム階段,,階段,内,内,"1,49,73
B3,43,74"
