id,案内先名（name_ja）,英語名（name_en）,名詞辞書用英語,別名（alias）,カテゴリ（cat）,サブカテゴリ（subcat）,サブカテゴリ英語,エリア（area）,場所（station）,キーワード（keywords）,郵便番号（postcode）,住所（addr）,電話番号（tel）,構内（inside）,改札内（ingate）,喫煙（smoking）,座標（end_point）,緯度経度（lnglat）,日開始時間,日終了時間,月開始時間,月終了時間,火開始時間,火終了時間,水開始時間,水終了時間,木開始時間,木終了時間,金開始時間,金終了時間,土開始時間,土終了時間,公式サイトURL（url）,
1,JR在来線・各改札内（西洞院口含む）,JR conventional lines: inside each ticket gate (Including Nishinotoin-guchi),JR conventional lines ticket gate,,,,,,京都,"シャッター,駅",,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,内,,"1,59,47",,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,,
2,JR新幹線・各改札内（乗り換え口含む）,JR Shinkansen: In each ticket gate (including transfer gate),JR Shinkansen ticket gate,,,,,,京都,新幹線,,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,内,,"1,59,47",,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,,
3,近鉄・改札内,Inside the ticket gate of Kintetsu Line,Kintetsu Line ticket gate,,,近鉄,Kintetsu,,京都,"近鉄,近鉄京都線乗り場",,京都府京都市下京区東塩小路釜殿町31-1,050-3536-3957,内,内,,"2,38,73",,0530,2320,0530,2320,0530,2320,0530,2320,0530,2320,0530,2320,0530,2320,,
4,京都市営地下鉄・改札内,In the ticket gate of Kyoto Municipal Subway,Kyoto Municipal Subway gate,,,地下鉄,subway,,京都,"地下鉄,京都地下鉄烏丸線乗り場",,京都市下京区東塩小路町,075-343-6872,内,内,,"b2,79,35",,0527,2431,0527,2431,0527,2431,0527,2431,0527,2431,0527,2431,0527,2431,,
5,京都総合観光案内所（亰なび）,Kyoto General Tourist Information Center (Nabi Kyo),General Tourist Information Center,,その他・サービス,観光案内所,tourist information center,,京都,観光案内所,,京都府京都市下京区烏丸通塩小路下る　 京都駅ビル2階,075-343-0548,内,外,,"2,45,49",,0830,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1900,http://xn--q9js323u.jp/,
6,駅ビルインフォメーション,Station building information,Station building information,,その他・サービス,,,,京都,,,京都市下京区東塩小路町　京都駅ビル2階,075-361-4401,内,外,,"2,49,40",,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,https://www.kyoto-station-building.co.jp/,
7,京都駅 屋上展望台,Kyoto Station rooftop observatory,rooftop observatory,,,,,,京都,,,京都市下京区烏丸通塩小路下ル東塩小路町,0570-00-2486,内,外,,"r,25,45",,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,,
8,烏丸小路広場,Karasuma Koji Square,Karasuma Koji Square,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,外,,"4,73,39",,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,,
9,京都駅・空中経路,Kyoto Station - aerial route,aerial route,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,外,,"10,75,39",,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,,
10,京都駅屋上・大空広場,Kyoto Station Rooftop and Ozora Square,Ozora Square,,,,,,京都,,,京都市下京区烏丸通塩小路下ル東塩小路町,0570-00-2486,内,外,,"r,25,45",,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,,
