name,name_en,type,inside,ingate,point,floors,
中央口北東エスカレーター1,North-East Escalator 1 at Central Gate,エスカレーター,内,外,"1,79,37",2F,グランビア京都
中央口北東エスカレーター2,North-East Escalator 2 at Central Gate,エスカレーター,内,外,"1,81,37",2F,京都劇場
中央口北東階段1,North-East Stairway 1 at Central Gate,階段,内,外,"1,79,39",2F,
中央口北東階段2,North-East Stairway 2 at Central Gate,階段,内,外,"1,82,39",2F,
中央口前エスカレーター1,Front Escalator 1 at Central Gate,エスカレーター,内,外,"1,58,42","B1,B2",
中央口前エスカレーター2,Front Escalator 2 at Central Gate,エスカレーター,内,外,"1,61,42","B1,B2",
南北連絡口南エスカレータ1,South Escalator 1 at South-North Access Gate,エスカレーター,内,外,"1,44,78",2F,
Avanti連絡階段,Avanti Connecting Stairway,階段,内,外,"1,80,76",B2,
南北連絡口南階段1,South Stair 1 at South-North Access Gate,階段,内,外,"1,44,79",2F,
南北連絡口南エレベータ,South Elevator at South-North Access Gate,エレベーター,内,外,"1,44,80",2F,
南北連絡口南エスカレータ2,South Escalator 2 at South-North Access Gate,エスカレーター,内,外,"1,49,77",2F,
南北連絡口南階段2,South Stairway at South-North Access Gate,階段,内,外,"1,49,78",2F,
みやこみち内階段,Stairway in Miyakomichi,階段,内,外,"1,38,70",2F,
みやこみち内エスカレーター,Escalator in Miyakomichi,エスカレーター,内,外,"1,38,71",2F,
地下連絡通路階段,Stairway to Underground Mall,階段,内,外,"1,81,74",B2,
大階段1,Large Stairway 1,階段,内,外,"1,57,39
2,54,39
3,50,39
4,46,39
5,42,42
6,40,43
7,37,43
8,35,43
9,33,44
10,31,46
11,29,46
r,29,44",,
大階段2,Large Stairway 2,階段,内,外,"1,62,39
2,66,39
3,71,39
4,74,39
5,74,42
7,81,39
10,80,39",,
中央口駅ビル中央エレベーター,Central Gate Central Elevator,エレベーター,内,外,"1,55,35","B1,B2,B3,2F",
中央口東エレベーター,Central Gate East Elevator,エレベーター,内,外,"1,89,40","2F,7F",京都劇場、東広場
伊勢丹内北階段1,North Stairway 1 in Isetan,階段,内,外,"1,45,38","B1,B2,1F-11F",
伊勢丹内北階段1,North Stairway 1 in Isetan    ★同じ？,階段,内,外,"1,48,38","B1,B2",
伊勢丹内南エレベーター,South Elevator in Isetan,エレベーター,内,外,"2,44,47","2F,4F,5F,6F,7F,8F,9F,10F,11F",
伊勢丹内北エレベーター,North Elevator in Isetan,エレベーター,内,外,"1,42,38","B1,B2,1F-11F",
伊勢丹内中央エスカレーター,Central escalator in Isetan,エスカレーター,内,外,"1,41,43","B1,B2,1F-3F",
伊勢丹内南エスカレーター,South Escalator in Isetan,エスカレーター,内,外,"2,33,46",3F-9F,
ポルタ左上階段,Porta Upper Left Stairway,階段,内,外,"1,40,26","1F,B2",
中央口ポルタ左階段,Porta Left Stairway at Central Gate,階段,内,外,"1,42,32","1F,B2",
中央口ポルタ中央階段,Porta Center Stairway at Central Gate,階段,内,外,"1,56,32","1F,B2",
中央口ポルタ右階段,Porta Right Stairway at Central Gate,階段,内,外,"1,69,32","1F,B2",
0番ホームエスカレーター,Escalator on platform 0,エスカレーター,内,内,"1,55,48",2F,"0,30,31,32,33,34"
0番ホーム階段,Stairway on Platform 0,階段,内,内,"1,55,49",2F,"0,30,31,32,33,34"
"2,3番ホームエスカレーター",Escalators on Platform 2 and 3,エスカレーター,内,内,"1,55,53",2F,"2,3"
"2,3番ホーム階段",Stairway on Platform 2 and 3,階段,内,内,"1,55,54",2F,"2,3"
"4,5番ホームエスカレーター",Escalators on Platform 4 and 5,エスカレーター,内,内,"1,55,58",2F,"4,5"
"4,5番ホーム階段",Stairway on Platform 4 and 5,階段,内,内,"1,55,59",2F,"4,5"
"6,7番ホームエスカレーター",Escalator on Platform 6 and 7,エスカレーター,内,内,"1,55,62",2F,"6,7"
"6,7番ホーム階段",Stairway on Platform 6 and 7,階段,内,内,"1,55,63",2F,"6,7"
"8,9,10ホームエスカレーター","Escalator on Platforms 8, 9 and 10",エスカレーター,内,内,"1,55,66",2F,"8,9,10"
"8,9,10ホーム階段","Stairway on Platform 8, 9, and 10",階段,内,内,"1,55,67",2F,"8,9,10"
新幹線コンコースエスカレーター1,Shinkansen Concourse Escalator 1,エスカレーター,内,内,"2,52,71",3F,"11,12"
新幹線コンコース階段1,Shinkansen concourse stairway 1,階段,内,内,"2,52,72",3F,"11,12"
新幹線コンコースエスカレーター2,Shinkansen concourse escalator 2,エスカレーター,内,内,"2,52,74",3F,"13,14"
新幹線コンコース階段2,Shinkansen concourse stairway 2,階段,内,内,"2,52,75",3F,"13,14"
新幹線八条口改札内エスカレーター,Escalator inside Shinkansen Hachijo Ticket Gate,エスカレーター,内,内,"1,59,71",2F,
新幹線八条口改札内階段,Stairway inside Shinkansen Hachijo Ticket Gate,階段,内,内,"1,59,72",2F,
地下鉄南改札口内エスカレーター,Escalator inside Subway South Ticket Gate,エスカレーター,内,外,"b2,79,62",B3,"1,2"
地下鉄中央２改札口内エスカレーター,Escalators inside Subway Central Ticket Gate 2,エスカレーター,内,外,"b2,79,50",B3,"1,2"
伊勢丹内南エスカレーター2,South Escalator 2 in Isetan,エスカレーター,内,外,"9,24,46",9F-11F,
伊勢丹内中央エスカレーター,Central escalator in Isetan,エスカレーター,内,外,"3,35,44
4,32,44
5,29,44
6,27,44
7,23,44
8,21,44
9,17,44
10,14,44
11,12,44",,
3F・4F往来階段,3F-4F Stairs,階段,内,外,"3,55,48",4F,
改札前イートパラダイス前エスカレーター,Escalator of Eat Paradise in front of the ticket gate,エスカレーター,内,外,"2,44,58",3F,
